                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.5623,                 1.2441,                 1.6771,                0.71154,                0.78341,                0.77288,                0.37514,                 1.8757,                 1.0637,                 1.9239,              0.0032278,              0.0032278,              0.0032278
                     64,                 1.5558,                 1.2425,                 1.6715,                0.68055,                0.80685,                0.77269,                0.38198,                  1.868,                 1.0534,                 1.8984,              0.0030841,              0.0030841,              0.0030841
                     65,                 1.5568,                 1.2429,                 1.6693,                0.72224,                0.75904,                0.77061,                0.37422,                 1.8919,                  1.045,                 1.9205,              0.0029424,              0.0029424,              0.0029424
                     66,                 1.5271,                 1.2192,                 1.6583,                0.69745,                0.79388,                0.77253,                0.38628,                 1.8661,                 1.0533,                 1.8986,              0.0028027,              0.0028027,              0.0028027
                     67,                  1.533,                  1.216,                 1.6567,                0.71312,                0.78024,                0.76285,                0.37753,                 1.8891,                 1.0536,                 1.9314,              0.0026653,              0.0026653,              0.0026653
                     68,                 1.5322,                 1.2039,                 1.6555,                0.73026,                0.78384,                0.78044,                0.38745,                   1.86,                 1.0457,                 1.9086,              0.0025302,              0.0025302,              0.0025302
                     69,                 1.5343,                 1.2052,                 1.6551,                0.71572,                 0.7821,                0.77087,                0.38219,                 1.8447,                 1.0387,                 1.9002,              0.0023977,              0.0023977,              0.0023977
                     70,                 1.5247,                 1.1962,                 1.6484,                0.71272,                0.76372,                 0.7683,                0.38464,                 1.8759,                 1.0338,                 1.9153,              0.0022677,              0.0022677,              0.0022677
                     71,                 1.5207,                 1.2044,                 1.6457,                0.68105,                0.77848,                0.75827,                0.38096,                  1.868,                 1.0349,                 1.9067,              0.0021405,              0.0021405,              0.0021405
                     72,                 1.5122,                 1.1957,                 1.6389,                0.73622,                 0.7783,                0.77087,                0.38441,                  1.878,                 1.0295,                 1.9067,              0.0020161,              0.0020161,              0.0020161
                     73,                 1.5056,                 1.1733,                 1.6315,                0.71226,                0.76023,                0.76934,                 0.3883,                  1.874,                 1.0273,                 1.9019,              0.0018948,              0.0018948,              0.0018948
                     74,                 1.5062,                  1.168,                 1.6308,                0.69415,                0.79387,                0.76504,                 0.3893,                 1.8868,                 1.0303,                 1.8973,              0.0017765,              0.0017765,              0.0017765
                     75,                 1.4982,                 1.1722,                 1.6345,                0.69128,                0.77834,                0.76421,                0.38949,                 1.8626,                 1.0267,                 1.8996,              0.0016615,              0.0016615,              0.0016615
                     76,                 1.4886,                 1.1628,                 1.6244,                0.69664,                0.79239,                0.77476,                0.39043,                 1.8825,                  1.039,                 1.9126,              0.0015498,              0.0015498,              0.0015498
                     77,                 1.4838,                 1.1494,                 1.6167,                0.70409,                0.76985,                0.76866,                 0.3866,                 1.8889,                 1.0295,                 1.9214,              0.0014416,              0.0014416,              0.0014416
                     78,                 1.4825,                 1.1539,                 1.6083,                0.70454,                0.76149,                0.76825,                 0.3837,                 1.8881,                 1.0275,                 1.9178,               0.001337,               0.001337,               0.001337
                     79,                 1.4794,                 1.1466,                 1.6135,                0.69585,                0.78749,                0.77228,                 0.3961,                 1.8686,                 1.0164,                 1.9017,               0.001236,               0.001236,               0.001236
                     80,                 1.4698,                 1.1396,                 1.6039,                0.71183,                 0.7763,                0.76898,                0.39587,                 1.8599,                 1.0261,                  1.899,              0.0011387,              0.0011387,              0.0011387
                     81,                 1.4661,                  1.135,                 1.6049,                0.69663,                 0.7831,                0.76653,                0.39257,                 1.8795,                 1.0183,                 1.9188,              0.0010454,              0.0010454,              0.0010454
                     82,                  1.468,                 1.1441,                 1.6066,                0.72269,                0.78191,                0.77324,                0.39504,                 1.8827,                 1.0169,                 1.9239,             0.00095595,             0.00095595,             0.00095595
                     83,                 1.4622,                 1.1237,                 1.6011,                0.72351,                0.77575,                0.76736,                0.38338,                 1.8926,                 1.0285,                 1.9291,             0.00087058,             0.00087058,             0.00087058
                     84,                 1.4517,                 1.1147,                 1.5987,                0.70246,                0.77054,                0.76589,                0.38979,                 1.8747,                 1.0146,                 1.9237,             0.00078933,             0.00078933,             0.00078933
                     85,                 1.4464,                 1.1114,                 1.5933,                0.68521,                0.80511,                0.77018,                0.39425,                 1.8731,                 1.0114,                 1.9137,             0.00071228,             0.00071228,             0.00071228
                     86,                 1.4533,                 1.1123,                 1.5965,                0.68732,                0.79795,                0.77202,                0.39581,                 1.8827,                  1.008,                 1.9222,             0.00063952,             0.00063952,             0.00063952
                     87,                 1.4306,                 1.1029,                 1.5856,                0.72199,                0.76826,                0.77383,                0.39747,                  1.889,                 1.0039,                 1.9274,             0.00057111,             0.00057111,             0.00057111
                     88,                 1.4411,                 1.1158,                 1.5956,                0.71416,                0.76475,                0.76965,                0.39659,                  1.882,                 1.0033,                 1.9266,             0.00050711,             0.00050711,             0.00050711
                     89,                 1.4206,                  1.089,                 1.5756,                0.73446,                0.74684,                0.76534,                0.39703,                 1.8698,                 1.0025,                 1.9139,             0.00044761,             0.00044761,             0.00044761
                     90,                 1.4297,                 1.0896,                 1.5776,                 0.7171,                0.76898,                0.76184,                 0.3896,                 1.8749,                 1.0082,                  1.922,             0.00039264,             0.00039264,             0.00039264
                     91,                 1.4993,                0.99891,                 1.6907,                 0.7336,                0.73444,                0.76539,                0.39038,                 1.8818,                 1.0113,                 1.9166,             0.00034227,             0.00034227,             0.00034227
                     92,                  1.478,                0.96571,                 1.6763,                0.71198,                0.77193,                0.77109,                 0.3946,                 1.8831,                 1.0041,                 1.9233,             0.00029655,             0.00029655,             0.00029655
                     93,                 1.4716,                0.94805,                 1.6615,                0.73167,                0.76517,                0.77806,                0.39402,                 1.8854,                 1.0006,                 1.9236,             0.00025551,             0.00025551,             0.00025551
                     94,                  1.459,                0.94155,                 1.6537,                0.70126,                0.77427,                 0.7733,                0.39435,                  1.887,                 1.0041,                 1.9188,             0.00021921,             0.00021921,             0.00021921
                     95,                  1.457,                0.94497,                 1.6539,                0.69455,                0.79033,                0.77094,                 0.3913,                 1.8901,                 1.0083,                 1.9316,             0.00018768,             0.00018768,             0.00018768
                     96,                 1.4554,                0.93934,                 1.6551,                0.70444,                0.76305,                0.77085,                0.39254,                 1.8857,                 1.0018,                 1.9287,             0.00016094,             0.00016094,             0.00016094
                     97,                 1.4574,                0.94496,                 1.6587,                0.71172,                0.78201,                0.77328,                 0.3941,                 1.8954,                 1.0054,                 1.9381,             0.00013903,             0.00013903,             0.00013903
                     98,                 1.4497,                0.93908,                 1.6485,                0.71502,                0.77338,                0.76807,                0.39583,                 1.8905,                 1.0023,                 1.9333,             0.00012197,             0.00012197,             0.00012197
                     99,                 1.4505,                0.93283,                 1.6521,                0.73227,                 0.7567,                0.77352,                0.39472,                 1.8926,                 1.0078,                   1.94,             0.00010977,             0.00010977,             0.00010977
                    100,                 1.4525,                 0.9333,                 1.6514,                0.71401,                0.76099,                0.77355,                0.39412,                 1.8952,                 1.0065,                 1.9442,             0.00010244,             0.00010244,             0.00010244
